id,varieties
38073,"CabernetSauvignon65%,Merlot25%,CabernetFranc8%,PetitVerdot2%,"
38074,"CabernetSauvignon65%,Merlot25%,CabernetFranc8%,PetitVerdot2%,"
38076,"CabernetSauvignon77%,Merlot12%,CabernetFranc10%,PetitVerdot1%,"
38077,"CabernetSauvignon55%,Merlot40%,PetitVerdot5%,"
38078,"Merlot,"
38079,"Merlot,"
38080,"Merlot,"
38081,"Merlot,"
38082,"Merlot,"
38083,"CabernetSauvignon50%,Merlot34%,CabernetFranc6%,PetitVerdot10%,"
38084,"CabernetSauvignon45%,Merlot35%,CabernetFranc12%,PetitVerdot8%,"
38085,"SauvignonBlanc60%,Semillon40%,"
38089,"Merlot68%,CabernetFranc24%,CabernetSauvignon8%,"
38090,"Merlot68%,CabernetFranc24%,CabernetSauvignon8%,"
38091,"Merlot68%,CabernetFranc24%,CabernetSauvignon8%,"
38092,"Merlot68%,CabernetFranc24%,CabernetSauvignon8%,"
38093,"CabernetSauvignon60%,Merlot33%,CabernetFranc5%,PetitVerdot2%,"
38096,"CabernetSauvignon60%,Merlot33%,CabernetFranc5%,PetitVerdot2%,"
38097,"Merlot75%,CabernetFranc15%,CabernetSauvignon10%,"
38098,"Merlot75%,CabernetFranc15%,CabernetSauvignon10%,"
38103,"SauvignonBlanc90%,Semillon5%,SauvignonGris5%,"
38104,"CabernetSauvignon50%,Merlot40%CabernetFranc10%,"
38105,"CabernetSauvignon66%,Merlot26%,PetitVerdot5%,CabernetFranc3%,"
38107,"CabernetSauvignon66%,Merlot26%,PetitVerdot5%,CabernetFranc3%,"
38108,"Merlot80%,CabernetFranc20%,"
38109,"Merlot80%,CabernetFranc20%,"
38110,"Merlot80%,CabernetFranc20%,"
38111,"Merlot80%,CabernetFranc20%,"
38112,"CabernetSauvignon91%,CabernetFranc9%,"
38114,"Merlot98%,Malbec2%,"
38117,"Shiraz88%,CabernetSauvignon12%,"
38118,"Riesling100%,"
38120,"Riesling100%,"
38121,"Riesling100%,"
38122,"Riesling100%,"
38124,"Riesling100%,"
38125,"Riesling100%,"
38126,"Riesling100%,"
38128,"Chardonnay100%,"
38129,"Merlot86%,OtherGrapes14%,"
38130,"Syrah85%,OtherGrapes15%,"
38131,"CabernetSauvignon85%,Merlot15%,"
38132,"Carmenere80%,CabernetSauvignon20%,"
38133,"SauvignonBlanc100%,"
38135,"Carmenere100%,"
38137,"Syrah40%,Grenache40%,Mourvedre20%,"
38138,"Syrah50%,Carignan50%,"
38140,"SauvignonBlanc,Chardonnay,Viognier,GrenacheBlanc,"
38141,"Syrah,Grenache,Merlot,CabernetSauvignon,"
38145,"TourigaNacional,TintaBarroca,TourigaFranca,TintaRoriz,"
38147,"TourigaNacional,TintaBarroca,TourigaFranca,TintaRoriz,"
38148,"TourigaNacional,TintaBarroca,TourigaFranca,TintaRoriz,"
38150,"TourigaNacional,TintaBarroca,TourigaFranca,TintaRoriz,"
38151,"TourigaNacional,TintaBarroca,TourigaFranca,TintaRoriz,"
38152,"TourigaNacional,TintaBarroca,TourigaFranca,TintaRoriz,"
38156,"Sangiovese100%,"
38157,"Sangiovese100%,"
38159,"CabernetSauvignon100%,"
38160,"Carignan,Syrah,"
38161,"Syrah,Grenache,"
38162,"CabernetSauvignon,"
38163,"CabernetSauvignon,"
38165,"Chardonnay,"
38166,"Chardonnay,"
38167,"Merlot100%,"
38168,"Merlot100%,"
38169,"SauvignonBlanc100%,"
38173,"CabernetSauvignon,"
38174,"Chardonnay,"
38175,"Merlot,"
38176,"Gamay100%,"
38177,"Gamay100%,"
38179,"Gamay100%,"
38181,"Gamay100%,"
38183,"Chardonnay100%,"
38184,"Chardonnay100%,"
38185,"PinotNoir100%,"
38186,"PinotNoir100%,"
38187,"PinotNoir,Gamay,"
38189,"Chardonnay100%,"
38190,"Chardonnay100%,"
38191,"Chardonnay100%,"
38192,"Chardonnay100%,"
38193,"Chardonnay100%,"
38194,"Chardonnay100%,"
38195,"PinotNoir100%,"
38198,"Aligote100%,"
38199,"PinotNoir100%,"
38202,"Chardonnay100%,"
38204,"Chardonnay100%,"
38205,"PinotNoir100%,"
38207,"Chardonnay100%,"
38208,"PinotNoir100%,"
38209,"PinotNoir100%,"
38210,"PinotNoir100%,"
38211,"Chardonnay100%,"
38213,"Chardonnay100%,"
38214,"Vidal100%,"
38215,"BlackGrenache,Syrah,Mourvedre,"
38216,"WhiteGrenache70%,Viognier30%,"
38218,"BlackGrenache60%,Syrah30%,Mourvedre10%,"
38220,"Syrah100%,"
38221,"BlackGrenache70%,Syrah30%,"
38222,"Merlot70%,CabernetSauvignon25%,Malbec5%,"
38223,"Merlot62%,CabernetSauvignon32%,CabernetFranc6%,"
38226,"Merlot,CabernetFranc,CabernetSauvignon,"
38234,"CabernetSauvignon100%,"
38237,"CabernetSauvignon81%,Merlot19%,"
38238,"CabernetSauvignon81%,Merlot19%,"
38239,"Merlot95%,CabernetSauvignon5%,"
38240,"CabernetSauvignon59%,Merlot35%,PetitVerdot4%,CabernetFranc2%,"
38241,"CabernetSauvignon59%,Merlot35%,PetitVerdot4%,CabernetFranc2%,"
38242,"Chardonnay100%,"
38243,"Chardonnay100%,"
38244,"CabernetSauvignon77%,Merlot20%,CabernetFranc3%,"
38245,"CabernetSauvignon77%,Merlot20%,CabernetFranc3%,"
38246,"Chardonnay100%,"
38249,"Chardonnay100%,"
38251,"SauvignonBlanc93%,Semillon7%,"
38255,"Riesling,MullerThurgau,"
38265,"CabernetSauvignon86%,Merlot6%,CabernetFranc3%,Malbec3%,PetitVerdot2%,"
38266,"Shiraz100%,"
38267,"Shiraz80%,Mourvedre20%,"
38268,"Shiraz100%,"
38269,"CabernetSauvignon,Shiraz,"
38270,"CabernetSauvignon,Shiraz,"
38271,"CabernetSauvignon100%,"
38272,"CabernetSauvignon100%,"
38273,"CabernetSauvignon,"
38274,"CabernetSauvignon,Shiraz,"
38275,"Shiraz99%,CabernetSauvignon1%,"
38277,"Shiraz,CabernetSauvignon,"
38278,"Shiraz,"
38279,"CabernetSauvignon,Merlot,"
38280,"Chardonnay,"
38284,"Shiraz,CabernetSauvignon,"
38286,"Chardonnay100%,"
38287,"Shiraz,CabernetSauvignon,"
38289,"Chardonnay,"
38291,"Merlot100%,"
38293,"Semillon,Chardonnay,"
38295,"Shiraz,CabernetSauvignon,"
38297,"Shiraz100%,"
38298,"Shiraz,"
38299,"Shiraz,CabernetSauvignon,"
38300,"Shiraz,CabernetSauvignon,"
38301,"CabernetSauvignon,"
38303,"Chardonnay,"
38305,"Shiraz,"
38306,"Chardonnay,"
38307,"Chardonnay,"
38308,"Chardonnay100%,"
38309,"Shiraz,"
38310,"CabernetSauvignon,"
38311,"CabernetSauvignon,"
38312,"Chardonnay,"
38313,"Merlot,"
38314,"Chardonnay100%,"
38316,"Zinfandel74%,Carignan18%,PetiteSirah8%,"
38319,"Zinfandel80%,PetiteSirah20%,"
38321,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
38323,"CabernetSauvignon70%,Merlot24%,PetitVerdot5%,CabernetFranc1%,"
38324,"CabernetSauvignon68%,Merlot20%,PetitVerdot10%,CabernetFranc2%,"
38328,"CabernetSauvignon,Merlot,PetitVerdot,CabernetFranc,"
38331,"CabernetSauvignon51%,Merlot47%,PetitVerdot1%,CabernetFranc1%,"
38332,"PinotGrigio43%,Chardonnay41%,SauvignonBlanc16%,"
38333,"Zinfandel49%,Syrah28%,CabernetSauvignon23%,"
38334,"Zinfandel51%,Syrah29%,CabernetSauvignon20%,"
38335,"CabernetSauvignon78%,PetitVerdot14%,Merlot5%,CabernetFranc3%,"
38336,"CabernetSauvignon78%,PetitVerdot14%,Merlot5%,CabernetFranc3%,"
38337,"Merlot86%,Syrah14%,"
38338,"Merlot86%,Syrah14%,"
38339,"Chardonnay100%,"
38340,"Zinfandel89%,PetitVerdot11%,"
38345,"CabernetSauvignon100%,"
38346,"CabernetSauvignon94%,Malbec3%,PetitVerdot3%,"
38347,"Chardonnay96%,Viognier2%,Marsanne1%,Roussanne1%,"
38348,"Chardonnay100%,"
38349,"Merlot93%,CabernetSauvignon5%,Malbec2%,"
38350,"Merlot100%,"
38351,"Merlot100%,"
38352,"Zinfandel,Merlot,Grenache,Sangiovese,"
38353,"Zinfandel100%,"
38369,"CabernetSauvignon65%,Merlot30%,CabernetFranc5%,"
38370,"CabernetSauvignon65%,Merlot30%,CabernetFranc5%,"
38371,"CabernetSauvignon65%,Merlot30%,CabernetFranc5%,"
